formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,category,analyzed_metal,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
Mg,mp-1055956,0.0,0.23651014,0.23651014,1,24.534643906929844,1.6449964453045691,P6/mmm,191,hexagonal,3.04483757,3.0502992210386957,3.0502992210386957,119.99997486270625,90.0,90.0,mono-metallic metal,Mg,Mg[+2],Passivation,Mg[+2],Passivation
Mg,mp-2017534,0.0,0.16564932200000002,0.16564932200000002,10,250.59599158971096,1.61053661543763,P1,1,triclinic,3.2241575248478176,5.198375478756096,14.951737458231586,90.12140681467515,90.01958356683375,89.91840848524845,mono-metallic metal,Mg,Mg[+2],Passivation,Mg[+2],Passivation
Mg,mp-1247180,0.0,0.17737867100000101,0.17737867100000002,10,251.0347724942143,1.6077215762865351,P2_1,4,monoclinic,3.2419898245938543,5.126507918661849,15.104340392272116,90.13246943947406,90.00344445203048,89.9986708538643,mono-metallic metal,Mg,Mg[+2],Passivation,Mg[+2],Passivation
MgO,mp-1244962,2.202499999999999,-2.709007456874999,0.329301713125,80,943.6781145213016,2.836858446794562,P1,1,triclinic,10.362422966888198,9.006326132277135,10.174512774184326,96.13607716781536,88.32727291296624,90.7017738077199,mono-metallic oxide,Mg,Mg[+2],Passivation,Mg[+2],Passivation
MgO,mp-1245039,1.9229,-2.78396454775,0.25434462224999904,80,911.7270595806997,2.9362748446515363,P1,1,triclinic,9.741477272099392,10.461112313296088,8.980875553373068,87.32552168253545,92.03941530201963,86.39794205347245,mono-metallic oxide,Mg,Mg[+2],Passivation,Mg[+2],Passivation
MgO,mp-1245045,2.8658,-2.7226156340000003,0.315693535999999,80,961.6202339036048,2.783927725155665,P1,1,triclinic,9.79490491967824,9.759431832249918,10.068635392230716,91.47733467904278,88.38553096225297,88.9778738889929,mono-metallic oxide,Mg,Mg[+2],Passivation,Mg[+2],Passivation
MgO,mp-1245128,1.9477000000000002,-2.692755621125,0.345553548874999,80,949.3614847954266,2.8198755406764713,P1,1,triclinic,10.343687404016856,9.583526352981611,9.593281698025864,91.11336284867859,91.69410532415769,87.31937288884515,mono-metallic oxide,Mg,Mg[+2],Passivation,Mg[+2],Passivation
MgO,mp-1245143,1.877299999999999,-2.697001558374999,0.341307611625,80,995.2665953592061,2.68981320454016,P1,1,triclinic,10.102826978094892,10.847267836325468,9.169354722284496,95.00821539203913,91.86072832041769,84.00621522209754,mono-metallic oxide,Mg,Mg[+2],Passivation,Mg[+2],Passivation
MgO,mp-1245157,2.081499999999999,-2.6899893985,0.34831977149999904,80,981.001784563416,2.728925953408256,P1,1,triclinic,9.522656399439391,11.01083821742237,9.366024953704212,89.57876438247757,90.69372860359863,92.52557983517349,mono-metallic oxide,Mg,Mg[+2],Passivation,Mg[+2],Passivation
MgO,mp-1245195,2.074999999999999,-2.6935720832500003,0.34473708674999903,80,979.9223256144177,2.731932072836869,P1,1,triclinic,9.690963035904016,10.047895758272276,10.202464360232042,99.04009999092534,87.40649866576281,89.30836097915733,mono-metallic oxide,Mg,Mg[+2],Passivation,Mg[+2],Passivation
MgO,mp-1245232,1.887699999999999,-2.716710592375,0.32159857762499905,80,975.5428948927284,2.744196328270419,P1,1,triclinic,9.33079403499477,10.565752729460073,9.981814925597147,97.4643934105518,89.44843459842521,89.08072484396959,mono-metallic oxide,Mg,Mg[+2],Passivation,Mg[+2],Passivation
MgO2,mp-1096803,0.0,-1.485110705,0.540428741666666,3,37.094921238955145,2.520416714077016,C2/m,12,monoclinic,3.4274066467321904,3.4274066467321904,3.935409680576725,85.59715401619546,85.59715401619546,53.64792500323085,mono-metallic oxide,Mg,Mg[+2],Passivation,Mg[+2],Passivation
MgO2,mp-1180260,0.0,-1.487287021666667,0.538252424999999,3,33.75523509081539,2.769782501780662,C2/m,12,monoclinic,3.2484513772831805,3.2484513772831805,3.5857046008957574,85.77584365232248,85.77584365232248,63.568736926526576,mono-metallic oxide,Mg,Mg[+2],Passivation,Mg[+2],Passivation
MgO,mp-1191789,3.304,-2.872653976666667,0.165655193333332,24,374.97865243425775,2.141786909352879,C2/c,15,monoclinic,8.734499258186528,8.734499258186528,5.679621485773942,89.77091730386037,89.77091730386037,59.92815175945693,mono-metallic oxide,Mg,Mg[+2],Passivation,Mg[+2],Passivation
MgO,mp-775808,3.4119,-2.9062285433333352,0.132080626666664,12,142.18210234942322,2.8242808194548212,Cm,8,monoclinic,3.259210144792321,3.25916582384723,15.46054298409965,90.01737923104251,89.98568035438858,120.02951487175152,mono-metallic oxide,Mg,Mg[+2],Passivation,Mg[+2],Passivation
MgO2,mp-1180271,2.3801,-1.9445164549999991,0.081022991666666,3,31.16962892453961,2.999543553257557,R-3m,166,trigonal,3.9549420965857385,3.9549420965857385,3.9549415802929375,47.87764431159442,47.87764431159442,47.877639973862365,mono-metallic oxide,Mg,Mg[+2],Passivation,Mg[+2],Passivation
MgO,mp-1180973,3.8943000000000003,-2.9785806399999992,0.05972853,16,155.2178380325324,3.449450480909065,R-3m,166,trigonal,20.056886405957655,20.056886405957655,20.056886768316616,8.56341659132255,8.56341659132255,8.563418974611238,mono-metallic oxide,Mg,Mg[+2],Passivation,Mg[+2],Passivation
